id,item,tipo,quantidade,data,createdAt,updatedAt
ea3ce453-900d-4046-a,Sifão pia 70 cm,Entrada,270,2026-07-24,2026-07-24,2026-07-24
3d5a28e3-ad9f-48bf-8,Chuveiro,Entrada,197,2026-07-24,2026-07-24,2026-07-24
cab792e9-1030-4095-a,Tubo de ligação sanfonado (vaso),Entrada,115,2026-07-24,2026-07-24,2026-07-24
122e284f-09fa-449b-8,Flexível plástico,Entrada,130,2026-07-24,2026-07-24,2026-07-24
8c52e31b-61d3-4594-8,Torneira plástica branca,Entrada,34,2026-07-24,2026-07-24,2026-07-24
985be8c3-e9f3-4911-b,Engate vaso sanitário,Entrada,144,2026-07-24,2026-07-24,2026-07-24
99074f4f-29e4-43cd-a,Parafuso p/ vaso sanitário,Entrada,300,2026-07-24,2026-07-24,2026-07-24
ae561657-af6d-4caa-a,Abraçadeira para cano,Entrada,600,2026-07-24,2026-07-24,2026-07-24
fe4fb390-0e07-4e4c-a,Tubo para descarga,Entrada,28,2026-07-24,2026-07-24,2026-07-24
a2c0fe4e-9219-42fe-a,Joelho 90 de esgoto,Entrada,65,2026-07-24,2026-07-24,2026-07-24
47cbd190-9398-46a6-b,Assento para vaso,Entrada,3,2026-07-24,2026-07-24,2026-07-24
0d4febf9-363a-4a73-b,Caixa de ligação esgoto,Entrada,7,2026-07-24,2026-07-24,2026-07-24
37bae24d-30f3-4370-9,Caixa acoplada vaso sanitário,Entrada,1,2026-07-24,2026-07-24,2026-07-24
38fc1b93-dee8-4067-8,Caixa de descarga para vaso,Entrada,114,2026-07-24,2026-07-24,2026-07-24
f5f3787c-479f-4e7d-9,Fio branco 6mm,Entrada,10,2026-07-24,2026-07-24,2026-07-24
4552dffe-a9f7-4a31-a,Fio vermelho 6mm,Entrada,10,2026-07-24,2026-07-24,2026-07-24
9d5ee2c8-5078-47b1-b,Fio azul 6mm,Entrada,10,2026-07-24,2026-07-24,2026-07-24
2dc1a25a-d7cb-46b5-b,Fio preto 6mm,Entrada,10,2026-07-24,2026-07-24,2026-07-24
1f7ba7d3-69b5-4878-a,Fio verde 4mm,Entrada,7,2026-07-24,2026-07-24,2026-07-24
