id,nome,categoria,quantidadeAtual,quantidadeMinima,unidade,local,status,observacao
1,Tubo PVC 100mm Hidráulico,Hidráulica,150,50,metro,Depósito A,OK,Para manutenção hidráulica
2,Registro esfera 3/4,Hidráulica,45,20,unidade,Depósito A,OK,Estoque rotativo
3,Fio elétrico 2,5mm,Elétrica,200,100,metro,Depósito B,OK,Fio para instalações
4,Disjuntor bipolar 40A,Elétrica,30,15,unidade,Depósito B,OK,Proteção elétrica
5,Cimento Portland 50kg,Construção,80,40,saco,Depósito C,OK,Alvenaria e reparos
6,Areia média,Construção,120,60,m³,Depósito C,OK,Construção civil
7,Parafusadeira 18V,Ferramenta Elétrica,12,5,unidade,Oficina,OK,Makita e Bosch
8,Furadeira de impacto 1/2,Ferramenta Elétrica,8,3,unidade,Oficina,OK,Tramontina
9,Serra circular 7.1/4,Marcenaria,5,2,unidade,Oficina,OK,Para corte de madeira
10,Plaina elétrica,Marcenaria,4,2,unidade,Oficina,OK,Desempeno
11,Esmerilhadeira 4.1/2,Serralheria,10,5,unidade,Oficina,OK,Corte e desbaste
12,Máquina de solda MIG,Serralheria,2,1,unidade,Oficina,CRITICO,Reparos em grades
13,Mangueira jardim 50m,Jardinagem,25,10,unidade,Galpão Externo,OK,Irrigação
14,Cortador de grama elétrico,Jardinagem,6,3,unidade,Galpão Externo,OK,Manutenção áreas verdes
15,Tinta látex branca 18L,Pintura,40,20,lata,Depósito D,OK,Pintura interna
16,Selador acrílico 18L,Pintura,35,15,lata,Depósito D,OK,Preparo superfícies
17,Desinfetante concentrado 5L,Limpeza,100,50,galão,Almoxarifado,OK,Higienização
18,Sabão em pó 1kg,Limpeza,200,100,unidade,Almoxarifado,OK,Lavanderia
19,Papel A4 500 folhas,Escritório,500,200,resma,Almoxarifado,OK,Administrativo
20,Cartucho toner HP 85A,Escritório,15,10,unidade,Almoxarifado,OK,Impressoras
21,Mouse óptico USB,Informática,20,10,unidade,TI,OK,Periféricos
22,Teclado USB padrão,Informática,25,12,unidade,TI,OK,Estações de trabalho
23,Extintor ABC 4kg,Segurança,30,15,unidade,Galpão Segurança,OK,Prevenção incêndio
24,Capacete de segurança,Segurança,50,25,unidade,Galpão Segurança,OK,EPI obrigatório
25,Chave de fenda Phillips,Ferramenta Manual,30,15,unidade,Oficina,OK,Diversos tamanhos
26,Chave de fenda chata,Ferramenta Manual,30,15,unidade,Oficina,OK,Diversos tamanhos
27,Alicate universal 8,Ferramenta Manual,20,10,unidade,Oficina,OK,Tramontina
28,Martelo de unha 500g,Ferramenta Manual,15,8,unidade,Oficina,OK,Construção
29,Talhadeira 300mm,Alvenaria,10,5,unidade,Depósito C,OK,Revestimentos
30,Nivel de alumínio 60cm,Alvenaria,8,4,unidade,Depósito C,OK,Alinhamento
31,Tubo de cobre 1/2,Refrigeração,40,20,metro,Depósito B,OK,Ar condicionado
32,Gas refrigerante R410A,Refrigeração,10,5,kg,Depósito B,OK,Manutenção splits
33,Chave de boca 10mm,Mecânica,12,6,unidade,Oficina,OK,Ajustável
34,Macaco hidráulico 2T,Automotivo,4,2,unidade,Oficina,OK,Elevação veículos
35,Compressor de ar 50L,Automotivo,2,1,unidade,Oficina,OK,Pintura e pneumática
36,Broca Aço Rápido 10mm,Construção,50,25,unidade,Oficina,OK,Perfuração metal
37,Disco de corte 4.1/2,Serralheria,60,30,unidade,Oficina,OK,Inox e ferro
38,Serra tico-tico,Marcenaria,3,2,unidade,Oficina,CRITICO,Corte curvas
39,Lixa ferro 80,Construção,100,50,unidade,Depósito C,OK,Desbaste
40,Grampo para madeira 50mm,Marcenaria,40,20,unidade,Oficina,OK,Fixação
